Объектные,Функциональные,Процессные,Ограничения,Структурные
Концевая сепарационная установка (КСУ),Система поддержания пластового давления,,Свойства нефти,
Котельная,Система пожарной сигнализации,,Сейсмичность,
Кран шаровый (КШ),Система теплоснабжения,,Сейсмостойкость,
Кустовая площадка скважин (куст скважин),Система учета электроэнергии,,Сечение,
Лаборатория,Система электрообогрева,,Сжиженные углеводородные газы (СУГ),
Лабораторное оборудование,Система электроснабжения,,Скин-проводник,
Лафетный ствол,Система электроэнергии,,Снеговая нагрузка,
Лестница,Система связи,,Стабилизация,
Линейный объект,Скин-система,,Степень огнестойкости,
Линия электропередачи (ЛЭП),Система противоаварийной авт. защиты (СПАЗ),,Схема и группа соединений обмоток,
Линия электропередачи воздушная (ВЛ) ,Строительные решения,,Температура,
Линия электропередачи кабельная (КЛ) ,Структурированная система мониторинга и управления инженерными системами зданий и сооружений,,Тепловая мощность,
Магистральный трубопровод,Структурированные кабельные системы (СКС),,Теплоноситель,
Маршевая лестница,Телемеханика производственная,,Термостабилизация,
Мачта осветительная,Тепловая изоляция оборудования и трубопроводов,,Тип АКБ,
Насос,Технико-экономическая часть,,Ток,
Насос артезианский погружной,Топливоснабжение,,Топливо,
Насос центробежный,Управление,,Топливо газ,
Насосная станция,Холодоснабжение,,Топливо попутный нефтяной газ (ПНГ),
Насосное оборудование,Электрохимическая защита (ЭХЗ),,Триэтиленгликоль,
Низковольтное комплексное устройство (НКУ),Электрическое освещение (внутреннее),,Физические свойства среды,
Обустройство устья одиночной скважины,Электрическое освещение (наружное),,Фланцевый ввод,
Объект подготовки нефти (ОПН),Энергоснабжение,,Химические свойства среды,
Операторная,,,Химреагент,
Опора связи,,,Хладагент,
Отстойник,,,Ширина,
Очистное сооружение,,,Широкая фракция лёгких углеводородов (ШФЛУ),
Паросиловая электростанция,,,Шлам,
Переезд ,,,"Cиловой трансф-ор с сухой изоляцией 6(10)/0,4 кВ",
Переключательный пункт на базе реклоузеров ,,,"Cиловой трансф-ор с масляной изоляцией 6(10,20,35)/0,4 кВ",
